"","collectPoints_x","collectPoints_y","collectTimes"
"326",-79.6664657592773,43.6681137084961,"2019-01-05 18:53:15"
"327",-79.6662521362305,43.6682815551758,"2019-01-05 19:53:15"
"328",-79.6662139892578,43.6681861877441,"2019-01-05 20:53:15"
"329",-79.6659622192383,43.6681938171387,"2019-01-05 21:53:15"
"330",-79.665885925293,43.6679916381836,"2019-01-05 22:53:15"
"331",-79.6662750244141,43.6682929992676,"2019-01-05 23:53:15"
"332",-79.6665191650391,43.6676330566406,"2019-01-06 00:53:15"
"333",-79.66650390625,43.6681518554688,"2019-01-06 01:53:15"
"334",-79.6669769287109,43.6683692932129,"2019-01-06 02:53:15"
"335",-79.6656341552734,43.6676330566406,"2019-01-06 03:53:15"
"336",-79.665397644043,43.6675071716309,"2019-01-06 04:53:15"
"337",-79.6662368774414,43.6685447692871,"2019-01-06 05:53:15"
"338",-79.6664352416992,43.6686859130859,"2019-01-06 06:53:15"
"339",-79.6659851074219,43.667911529541,"2019-01-06 07:53:15"
"340",-79.6660385131836,43.6683120727539,"2019-01-06 08:53:15"
"341",-79.6662521362305,43.6682319641113,"2019-01-06 09:53:15"
"342",-79.6664810180664,43.6675148010254,"2019-01-06 10:53:15"
"343",-79.6659164428711,43.6682243347168,"2019-01-06 11:53:15"
"344",-79.665641784668,43.6680755615234,"2019-01-06 12:53:15"
"345",-79.6875228881836,43.6716384887695,"2019-01-06 14:29:24"
"346",-79.6875076293945,43.6716728210449,"2019-01-06 14:44:45"
"347",-79.6872482299805,43.6725387573242,"2019-01-06 15:53:14"
"348",-79.6874313354492,43.672420501709,"2019-01-06 16:53:14"
"349",-79.6874542236328,43.6726455688477,"2019-01-06 17:53:14"
"350",-79.6878204345703,43.6724319458008,"2019-01-06 18:53:14"
"351",-79.6874694824219,43.6725006103516,"2019-01-06 19:53:14"
"352",-79.6868362426758,43.6723594665527,"2019-01-06 20:53:14"
"353",-79.6872711181641,43.6722183227539,"2019-01-06 21:53:14"
"354",-79.6867065429688,43.6724853515625,"2019-01-06 22:53:14"
"355",-79.6666030883789,43.6683921813965,"2019-01-07 00:21:24"
"356",-79.6659164428711,43.6678123474121,"2019-01-07 01:21:24"
"357",-79.6668243408203,43.6683540344238,"2019-01-07 02:21:24"
"358",-79.6662902832031,43.6677932739258,"2019-01-07 03:21:24"
"359",-79.6653823852539,43.6675338745117,"2019-01-07 04:21:24"
"360",-79.6655502319336,43.6680526733398,"2019-01-07 05:21:24"
"361",-79.6662902832031,43.6682777404785,"2019-01-07 06:21:24"
"362",-79.6656951904297,43.6688385009766,"2019-01-07 07:21:24"
"363",-79.6658554077148,43.6681861877441,"2019-01-07 08:21:24"
"364",-79.6660079956055,43.6684722900391,"2019-01-07 09:21:24"
"365",-79.6663208007813,43.6679496765137,"2019-01-07 10:21:24"
"366",-79.6662750244141,43.6679763793945,"2019-01-07 11:21:24"
"367",-79.2786560058594,43.778247833252,"2019-01-07 13:46:50"
"368",-79.2776641845703,43.7252578735352,"2019-01-07 14:41:04"
"369",-79.2382659912109,43.8211441040039,"2019-01-07 18:25:03"
"370",-79.0554580688477,43.824104309082,"2019-01-07 20:00:50"
"371",-79.6870193481445,43.6718597412109,"2019-01-07 22:37:38"
"372",-79.6681747436523,43.6697959899902,"2019-01-07 23:37:09"
"373",-79.6681442260742,43.6693382263184,"2019-01-08 00:37:09"
"374",-79.6680297851563,43.6693267822266,"2019-01-08 01:37:09"
